City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,nyurba,63.2842,118.3319,-26.96,87,84,1.59,RU,1741064981
81,ust-nera,64.5667,143.2,-22.05,89,100,2.81,RU,1741064982
82,sinabang,2.4803,96.3801,29.32,71,99,1.22,ID,1741064983
83,puerto carreno,6.189,-67.4859,27.19,47,59,1.34,CO,1741064887
84,nanping,26.645,118.1736,16.07,81,100,1.81,CN,1741064985
85,macau,22.2006,113.5461,23.85,88,40,3.09,MO,1741064986
86,khanty-mansiysk,61.0042,69.0019,-10.94,73,0,3.0,RU,1741064737
87,la'ie,21.6477,-157.9253,24.98,77,19,3.58,US,1741064988
88,sampit,-2.5333,112.95,29.01,83,98,1.14,ID,1741064989
89,giado,31.9582,12.0203,10.79,71,0,3.04,LY,1741064990
90,micoud,13.8167,-60.9,25.96,100,20,7.2,LC,1741064991
91,tarnogskiy gorodok,60.4997,43.5761,-5.1,94,99,4.45,RU,1741064993
92,gounou gaya,9.6294,15.5132,25.31,21,34,2.35,TD,1741064994
93,port pirie,-33.1833,138.0167,33.93,13,0,5.41,AU,1741064995
94,kirensk,57.7853,108.1119,-5.12,81,100,3.62,RU,1741064996
95,mundemba,4.9479,8.8724,25.56,90,100,0.9,CM,1741064997
96,muana,-1.5283,-49.2167,22.82,98,100,1.32,BR,1741064811
97,vila franca do campo,37.7167,-25.4333,12.23,86,2,2.43,PT,1741064999
98,atmore,31.0238,-87.4939,10.37,87,49,3.45,US,1741064953
99,sitka,57.0531,-135.33,2.94,87,40,2.06,US,1741065001
100,natal,-5.795,-35.2094,25.12,94,75,2.57,BR,1741064677
101,volodarskiy,46.4013,48.5409,-1.16,86,99,3.63,RU,1741065004
102,fisterra,42.9049,-9.2629,11.6,78,2,6.73,ES,1741065005
103,fillmore,43.6666,-92.1002,8.63,66,100,4.12,US,1741065006
104,san jeronimo de juarez,17.1333,-100.4667,23.79,70,89,1.91,MX,1741065007
105,ceerigaabo,10.6162,47.368,15.98,59,57,2.18,SO,1741065008
106,val-d'or,48.1002,-77.7828,-4.95,86,100,4.12,CA,1741064824
107,bajina basta,43.9708,19.5675,2.98,76,0,0.4,RS,1741065010
108,walvis bay,-22.9575,14.5053,17.71,89,50,1.98,NA,1741065011
109,odienne,9.51,-7.5692,26.0,58,40,1.23,CI,1741065012
110,kingston,17.997,-76.7936,23.42,92,9,1.55,JM,1741064847
111,kavieng,-2.5744,150.7967,28.95,73,79,5.15,PG,1741065014
112,bubaque,11.2833,-15.8333,23.93,60,58,7.0,GW,1741065016
113,port lincoln,-34.7333,135.8667,26.78,43,0,3.07,AU,1741065017
114,igarka,67.4667,86.5833,-19.01,95,100,4.72,RU,1741065018
115,carthage,36.8611,10.3316,10.74,93,20,1.03,TN,1741065019
116,cabedelo,-6.9811,-34.8339,24.37,82,17,4.87,BR,1741065020
117,urengoy,65.9667,78.3667,-16.92,97,100,2.62,RU,1741065021
118,menongue,-14.6585,17.691,16.46,96,97,1.66,AO,1741065022
119,argo,37.6333,22.7333,6.0,80,43,2.87,GR,1741065023
120,bechar,31.6167,-2.2167,12.11,91,93,4.08,DZ,1741065024
121,saint-felix-de-valois,46.1668,-73.4324,-10.53,79,100,1.85,CA,1741065026
122,tambopata,-12.7333,-69.1833,21.6,99,99,0.84,PE,1741065028
123,tolanaro,-25.0319,46.9987,25.5,91,89,2.71,MG,1741065029
124,karratha,-20.7377,116.8463,38.61,36,2,4.53,AU,1741065030
125,qom,34.6401,50.8764,4.84,32,98,1.86,IR,1741065031
126,liberal,37.0431,-100.921,9.08,27,0,8.23,US,1741065032
127,saint-benoit,-21.038,55.7194,30.04,72,11,2.18,RE,1741065033
128,apodi,-5.6642,-37.7989,24.72,83,64,3.1,BR,1741065034
129,tianpeng,30.9866,103.9393,9.43,85,100,3.5,CN,1741064846
130,katsuren-haebaru,26.3369,127.8719,25.01,74,100,4.22,JP,1741065037
131,bamboo flat,11.7,92.7167,32.05,45,20,3.09,IN,1741065038
132,westford,42.5793,-71.4378,-4.71,63,0,0.45,US,1741065039
133,ndibene dahra,15.3338,-15.4766,16.98,66,95,4.55,SN,1741065040
134,guanica,17.9716,-66.908,24.43,84,80,1.72,PR,1741065041
135,awgu,6.0742,7.4786,25.5,88,100,1.32,NG,1741065042
136,constitucion,-35.3333,-72.4167,13.71,82,3,3.41,CL,1741065043
137,larache,35.1932,-6.1557,14.34,83,86,2.19,MA,1741065044
138,nabire,-3.3667,135.4833,31.14,61,59,3.38,ID,1741065045
